tweet_id,retweet_count,favorite_count,name,image_url,text_only,dog_type,score,month,day,new_source,img_num,dog_breed,confidence
892177421306343426,5472,30240,Tilly,https://t.co/0Xxu71qeIV,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",,13.0,Aug,Tue,Twitter for iPhone,1.0,Chihuahua,0.323581
891815181378084864,3620,22761,Archie,https://t.co/wUnZnhtVJB,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,,12.0,Jul,Mon,Twitter for iPhone,1.0,Chihuahua,0.716012
891689557279858688,7520,38193,Darla,https://t.co/tD36da7qLQ,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,,13.0,Jul,Sun,Twitter for iPhone,1.0,Labrador Retriever,0.168086
891327558926688256,8083,36463,Franklin,https://t.co/AtUZn91f7f,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",,12.0,Jul,Sat,Twitter for iPhone,2.0,Basset,0.555712
891087950875897856,2712,18398,None,https://t.co/kQ04fDDRmh,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,,13.0,Jul,Sat,Twitter for iPhone,1.0,Chesapeake Bay Retriever,0.425595
890971913173991426,1752,10699,Jax,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",,13.0,Jul,Fri,Twitter for iPhone,1.0,Appenzeller,0.34170300000000003
890729181411237888,16437,58757,None,https://t.co/v0nONBcwxq,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,,13.0,Jul,Fri,Twitter for iPhone,2.0,Pomeranian,0.566142
890609185150312448,3761,25313,Zoey,https://t.co/9TwLuAGH0b,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,,13.0,Jul,Thu,Twitter for iPhone,1.0,Irish Terrier,0.487574
890240255349198849,6357,28893,Cassie,https://t.co/t1bfwz5S2A,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,doggo ,14.0,Jul,Wed,Twitter for iPhone,1.0,Pembroke,0.511319
890006608113172480,6388,27866,Koda,https://t.co/dVPW0B0Mme,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,,13.0,Jul,Wed,Twitter for iPhone,1.0,Samoyed,0.957979
